wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
2;dolnośląskie;208;kłodzki;208051;Polanica-Zdrój;Wałbrzyski;6228;3460;3368;55,5556;54,0784
28;warmińsko-mazurskie;2807;iławski;2807011;Iława;;33206;18413;17944;55,4508;54,0384
22;pomorskie;2209;malborski;2209011;Malbork;;38101;21303;20589;55,9119;54,038
2;dolnośląskie;214;oleśnicki;214011;Oleśnica;;36979;20516;19970;55,4801;54,0036
28;warmińsko-mazurskie;2801;bartoszycki;2801011;Bartoszyce;Olsztyński;22984;12803;12412;55,704;54,0028
12;małopolskie;1206;krakowski;1206032;gm.w Iwanowice;Krakowski;9215;5113;4971;55,4856;53,9447
8;lubuskie;809;zielonogórski;809072;gm.w Świdnica;Zielonogórski;6685;3712;3606;55,5273;53,9417
30;wielkopolskie;3062;Konin;3062011;Konin;;72539;40327;39124;55,5935;53,9351
30;wielkopolskie;3030;wrzesiński;3030033;gm.m-w. Nekla;Poznański;7617;4278;4108;56,1638;53,932
24;śląskie;2413;tarnogórski;2413031;Radzionków;Katowicki;16903;9354;9109;55,3393;53,8898
8;lubuskie;807;sulęciński;807043;gm.m-w. Sulęcin;Gorzowski;15633;8647;8423;55,3125;53,8796
30;wielkopolskie;3028;wągrowiecki;3028011;Wągrowiec;Pilski;25607;14292;13789;55,8129;53,8486
12;małopolskie;1212;olkuski;1212042;gm.w Klucze;Katowicki;14909;8268;8025;55,4564;53,8265
32;zachodniopomorskie;3263;Świnoujście;3263011;Świnoujście;;40948;22930;22037;55,9979;53,817
24;śląskie;2413;tarnogórski;2413041;Tarnowskie Góry;;61756;34092;33224;55,2044;53,7988
2;dolnośląskie;215;oławski;215011;Oława;;33087;18413;17800;55,6503;53,7976
24;śląskie;2413;tarnogórski;2413062;gm.w Ożarowice;Katowicki;5806;3225;3123;55,546;53,7892
24;śląskie;2416;zawierciański;2416021;Zawiercie;;48703;26971;26142;55,3785;53,6764
32;zachodniopomorskie;3207;kamieński;3207043;gm.m-w. Międzyzdroje;Szczeciński;6398;3581;3434;55,9706;53,673
30;wielkopolskie;3019;pilski;3019011;Piła;;72527;40410;38915;55,7172;53,6559
12;małopolskie;1213;oświęcimski;1213033;gm.m-w. Chełmek;Bielski;12837;7061;6887;55,0051;53,6496
22;pomorskie;2215;wejherowski;2215021;Rumia;;49536;27581;26569;55,6787;53,6357
22;pomorskie;2204;gdański;2204042;gm.w Pruszcz Gdański;;32184;17808;17251;55,3318;53,6012
14;mazowieckie;1402;ciechanowski;1402011;Ciechanów;;43883;24526;23518;55,8895;53,5925
30;wielkopolskie;3022;rawicki;3022053;gm.m-w. Rawicz;;30299;16704;16233;55,1305;53,576
24;śląskie;2464;Częstochowa;2464011;Częstochowa;;217530;120112;116490;55,2163;53,5512
32;zachodniopomorskie;3213;sławieński;3213011;Darłowo;Koszaliński;13574;7521;7269;55,4074;53,5509
8;lubuskie;805;słubicki;805053;gm.m-w. Słubice;Gorzowski;20145;11143;10786;55,314;53,5418
24;śląskie;2471;Piekary Śląskie;2471011;Piekary Śląskie;;54702;30169;29285;55,1515;53,5355
24;śląskie;2405;gliwicki;2405011;Knurów;;37801;20759;20229;54,9165;53,5145
10;łódzkie;1008;pabianicki;1008052;gm.w Ksawerów;Łódzki;7661;4260;4099;55,6063;53,5048
24;śląskie;2472;Ruda Śląska;2472011;Ruda Śląska;;136423;75173;72960;55,1029;53,4807
10;łódzkie;1008;pabianicki;1008021;Pabianice;;63945;35320;34193;55,235;53,4725
6;lubelskie;611;łukowski;611021;Stoczek Łukowski;Siedlecki;2480;1365;1326;55,0403;53,4677
4;kujawsko-pomorskie;401;aleksandrowski;401062;gm.w Koneck;Włocławski;3103;1712;1659;55,1724;53,4644
14;mazowieckie;1419;płocki;1419122;gm.w Słupno;Płocki;8129;4480;4346;55,1113;53,4629
30;wielkopolskie;3027;turecki;3027011;Turek;Koniński;26441;14630;14133;55,3307;53,4511
4;kujawsko-pomorskie;404;chełmiński;404011;Chełmno;Toruński;19205;10573;10259;55,0534;53,4184
2;dolnośląskie;220;trzebnicki;220013;gm.m-w. Oborniki Śląskie;Wrocławski;20287;11204;10835;55,2275;53,4086
14;mazowieckie;1428;sochaczewski;1428082;gm.w Teresin;Skierniewicki;11542;6382;6164;55,2937;53,405
30;wielkopolskie;3030;wrzesiński;3030053;gm.m-w. Września;;47425;26157;25322;55,1545;53,3938
24;śląskie;2404;częstochowski;2404042;gm.w Kamienica Polska;Częstochowski;5514;3011;2943;54,6065;53,3732
32;zachodniopomorskie;3202;choszczeński;3202012;gm.w Bierzwnik;Gorzowski;4666;2566;2490;54,9936;53,3648
14;mazowieckie;1408;legionowski;1408052;gm.w Wieliszew;Warszawski;16053;8827;8562;54,9866;53,3358
22;pomorskie;2214;tczewski;2214011;Tczew;;59430;32638;31681;54,9184;53,3081
26;świętokrzyskie;2609;sandomierski;2609011;Sandomierz;Tarnobrzeski;22997;12584;12255;54,7202;53,2896
30;wielkopolskie;3004;gostyński;3004063;gm.m-w. Pogorzela;Leszczyński;4907;2705;2614;55,1253;53,2708
14;mazowieckie;1417;otwocki;1417072;gm.w Sobienie-Jeziory;Siedlecki;6356;3496;3385;55,0031;53,2568
14;mazowieckie;1428;sochaczewski;1428011;Sochaczew;;35891;19845;19110;55,2924;53,2445
32;zachodniopomorskie;3202;choszczeński;3202023;gm.m-w. Choszczno;Gorzowski;21529;11752;11462;54,5868;53,2398
32;zachodniopomorskie;3209;koszaliński;3209053;gm.m-w. Mielno;Koszaliński;4881;2687;2598;55,0502;53,2268
12;małopolskie;1206;krakowski;1206052;gm.w Kocmyrzów-Luborzyca;Krakowski;16020;8848;8520;55,231;53,1835
14;mazowieckie;1406;grójecki;1406053;gm.m-w. Grójec;Radomski;25882;14310;13763;55,2894;53,176
28;warmińsko-mazurskie;2809;lidzbarski;2809011;Lidzbark Warmiński;Olsztyński;15489;8535;8236;55,1036;53,1732
24;śląskie;2404;częstochowski;2404162;gm.w Starcza;Częstochowski;2853;1541;1517;54,0133;53,1721
24;śląskie;2402;bielski;2402072;gm.w Kozy;Bielski;13091;7130;6958;54,4649;53,151
12;małopolskie;1208;miechowski;1208072;gm.w Słaboszów;Kielecki;3487;1906;1853;54,6602;53,1402
30;wielkopolskie;3063;Leszno;3063011;Leszno;;62854;34435;33390;54,7857;53,1231
4;kujawsko-pomorskie;404;chełmiński;404032;gm.w Kijewo Królewskie;Toruński;4521;2444;2401;54,0588;53,1077
2;dolnośląskie;261;Jelenia Góra;261011;Jelenia Góra;;78335;42944;41582;54,821;53,0823
8;lubuskie;810;żagański;810021;Żagań;Zielonogórski;25265;13765;13411;54,4825;53,0813
32;zachodniopomorskie;3261;Koszalin;3261011;Koszalin;;106235;58060;56370;54,6524;53,0616
2;dolnośląskie;219;świdnicki;219011;Świdnica;;56222;30778;29831;54,7437;53,0593
24;śląskie;2402;bielski;2402043;gm.m-w. Czechowice-Dziedzice;;45490;24872;24134;54,6758;53,0534
30;wielkopolskie;3023;słupecki;3023042;gm.w Ostrowite;Koniński;5054;2769;2681;54,7883;53,0471
10;łódzkie;1017;wieluński;1017093;gm.m-w. Wieluń;;31137;17012;16512;54,636;53,0302
