wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
24;śląskie;2404;częstochowski;2404132;gm.w Poczesna;Częstochowski;12641;6474;6304;51,2143;49,8695
24;śląskie;2414;bieruńsko-lędziński;2414031;Lędziny;Katowicki;16731;8593;8342;51,3598;49,8595
4;kujawsko-pomorskie;464;Włocławek;464011;Włocławek;;108561;55489;54125;51,1132;49,8568
22;pomorskie;2216;sztumski;2216053;gm.m-w. Sztum;Elbląski;18182;9348;9064;51,4135;49,8515
12;małopolskie;1213;oświęcimski;1213043;gm.m-w. Kęty;;33990;17472;16943;51,4034;49,847
2;dolnośląskie;226;złotoryjski;226052;gm.w Zagrodno;Legnicki;5206;2664;2595;51,1717;49,8463
4;kujawsko-pomorskie;407;inowrocławski;407042;gm.w Inowrocław;Bydgoski;11845;6087;5904;51,3888;49,8438
12;małopolskie;1219;wielicki;1219032;gm.w Kłaj;Krakowski;10836;5625;5401;51,9103;49,8431
8;lubuskie;802;krośnieński;802011;Gubin;Zielonogórski;16528;8545;8238;51,7001;49,8427
12;małopolskie;1214;proszowicki;1214053;gm.m-w. Proszowice;Krakowski;16097;8336;8020;51,786;49,8229
10;łódzkie;1013;rawski;1013011;Rawa Mazowiecka;Skierniewicki;17193;8941;8566;52,0037;49,8226
4;kujawsko-pomorskie;418;włocławski;418032;gm.w Boniewo;Włocławski;3346;1701;1667;50,8368;49,8207
24;śląskie;2403;cieszyński;2403021;Ustroń;Bielski;15989;8210;7959;51,3478;49,778
10;łódzkie;1017;wieluński;1017032;gm.w Konopnica;Sieradzki;3759;1935;1871;51,4765;49,7739
22;pomorskie;2213;starogardzki;2213082;gm.w Osiek;Gdański;2373;1209;1181;50,9482;49,7682
4;kujawsko-pomorskie;410;nakielski;410053;gm.m-w. Szubin;Bydgoski;24917;12815;12396;51,4308;49,7492
4;kujawsko-pomorskie;403;bydgoski;403072;gm.w Sicienko;Bydgoski;10311;5305;5129;51,4499;49,743
12;małopolskie;1206;krakowski;1206123;gm.m-w. Słomniki;Krakowski;13557;6976;6740;51,4568;49,716
14;mazowieckie;1420;płoński;1420082;gm.w Nowe Miasto;Ciechanowski;4665;2421;2318;51,8971;49,6892
2;dolnośląskie;262;Legnica;262011;Legnica;;98436;50495;48890;51,2973;49,6668
10;łódzkie;1008;pabianicki;1008062;gm.w Lutomiersk;Sieradzki;8736;4490;4337;51,3965;49,6451
24;śląskie;2409;myszkowski;2409011;Myszków;;31261;16054;15511;51,3547;49,6177
8;lubuskie;803;międzyrzecki;803012;gm.w Bledzew;Gorzowski;4281;2228;2124;52,0439;49,6146
14;mazowieckie;1406;grójecki;1406012;gm.w Belsk Duży;Radomski;6440;3314;3194;51,4596;49,5963
14;mazowieckie;1419;płocki;1419022;gm.w Bodzanów;Płocki;8152;4164;4042;51,0795;49,5829
12;małopolskie;1215;suski;1215072;gm.w Stryszawa;Bielski;11926;6067;5912;50,872;49,5724
8;lubuskie;809;zielonogórski;809013;gm.m-w. Babimost;Zielonogórski;6177;3163;3062;51,2061;49,571
24;śląskie;2403;cieszyński;2403052;gm.w Chybie;Bielski;9832;4984;4872;50,6916;49,5525
8;lubuskie;802;krośnieński;802022;gm.w Bobrowice;Zielonogórski;3161;1628;1566;51,5027;49,5413
18;podkarpackie;1864;Tarnobrzeg;1864011;Tarnobrzeg;;46360;23765;22967;51,2619;49,5406
14;mazowieckie;1437;żuromiński;1437042;gm.w Lutocin;Ciechanowski;4197;2127;2078;50,6791;49,5116
12;małopolskie;1206;krakowski;1206012;gm.w Czernichów;Krakowski;14704;7586;7276;51,5914;49,4831
4;kujawsko-pomorskie;416;tucholski;416063;gm.m-w. Tuchola;Bydgoski;20151;10241;9971;50,8213;49,4814
30;wielkopolskie;3025;średzki;3025032;gm.w Nowe Miasto nad Wartą;Poznański;8984;4612;4445;51,3357;49,4768
26;świętokrzyskie;2603;kazimierski;2603022;gm.w Czarnocin;Kielecki;3723;1925;1842;51,7056;49,4762
28;warmińsko-mazurskie;2807;iławski;2807073;gm.m-w. Zalewo;Olsztyński;6699;3424;3312;51,1121;49,4402
14;mazowieckie;1433;węgrowski;1433011;Węgrów;Siedlecki;12452;6385;6148;51,2769;49,3736
24;śląskie;2414;bieruńsko-lędziński;2414052;gm.w Chełm Śląski;Katowicki;6403;3256;3161;50,8512;49,3675
28;warmińsko-mazurskie;2814;olsztyński;2814072;gm.w Jonkowo;Olsztyński;7495;3862;3700;51,5277;49,3662
32;zachodniopomorskie;3212;pyrzycki;3212012;gm.w Bielice;Szczeciński;3142;1620;1551;51,5595;49,3635
14;mazowieckie;1411;makowski;1411082;gm.w Rzewnie;Ostrołęcki;2591;1325;1279;51,1386;49,3632
24;śląskie;2403;cieszyński;2403122;gm.w Zebrzydowice;Katowicki;13220;6715;6525;50,7943;49,357
4;kujawsko-pomorskie;402;brodnicki;402062;gm.w Bartniczka;Toruński;4708;2400;2323;50,9771;49,3415
30;wielkopolskie;3025;średzki;3025022;gm.w Krzykosy;Poznański;7163;3652;3534;50,9842;49,3369
14;mazowieckie;1419;płocki;1419092;gm.w Nowy Duninów;Płocki;3979;2036;1963;51,1686;49,334
30;wielkopolskie;3016;obornicki;3016032;gm.w Ryczywół;Pilski;7264;3746;3583;51,5694;49,3254
2;dolnośląskie;207;kamiennogórski;207022;gm.w Kamienna Góra;Jeleniogórski;8997;4563;4437;50,7169;49,3164
12;małopolskie;1208;miechowski;1208062;gm.w Racławice;Kielecki;2485;1276;1225;51,3481;49,2958
12;małopolskie;1218;wadowicki;1218093;gm.m-w. Wadowice;;37585;19099;18527;50,8155;49,2936
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002073;gm.m-w. Trzcianka;Pilski;24224;12398;11939;51,1806;49,2858
32;zachodniopomorskie;3203;drawski;3203023;gm.m-w. Drawsko Pomorskie;Koszaliński;17008;8673;8382;50,9937;49,2827
22;pomorskie;2216;sztumski;2216042;gm.w Stary Targ;Elbląski;6204;3169;3057;51,0799;49,2747
2;dolnośląskie;209;legnicki;209042;gm.w Kunice;Legnicki;7161;3611;3528;50,4259;49,2669
22;pomorskie;2214;tczewski;2214052;gm.w Subkowy;Gdański;5499;2846;2708;51,7549;49,2453
30;wielkopolskie;3013;leszczyński;3013043;gm.m-w. Rydzyna;Leszczyński;9836;5001;4843;50,8438;49,2375
16;opolskie;1611;strzelecki;1611053;gm.m-w. Strzelce Opolskie;;30269;15262;14902;50,4212;49,2319
30;wielkopolskie;3031;złotowski;3031011;Złotów;Pilski;18437;9324;9076;50,5722;49,2271
4;kujawsko-pomorskie;418;włocławski;418092;gm.w Kowal;Włocławski;3897;1962;1918;50,3464;49,2173
2;dolnośląskie;218;średzki;218032;gm.w Miękinia;Wrocławski;17615;9006;8667;51,1269;49,2024
22;pomorskie;2211;pucki;2211023;gm.m-w. Jastarnia;Gdański;3626;1922;1784;53,0061;49,2002
32;zachodniopomorskie;3202;choszczeński;3202033;gm.m-w. Drawno;Gorzowski;4993;2524;2456;50,5508;49,1889
6;lubelskie;601;bialski;601021;Terespol;Bialskopodlaski;5457;2752;2684;50,4306;49,1845
30;wielkopolskie;3023;słupecki;3023083;gm.m-w. Zagórów;Koniński;8878;4479;4366;50,4506;49,1777
32;zachodniopomorskie;3207;kamieński;3207063;gm.m-w. Wolin;Szczeciński;12081;6128;5940;50,7243;49,1681
32;zachodniopomorskie;3204;goleniowski;3204043;gm.m-w. Nowogard;Szczeciński;24515;12475;12053;50,8872;49,1658
30;wielkopolskie;3030;wrzesiński;3030012;gm.w Kołaczkowo;Poznański;5988;3063;2943;51,1523;49,1483
22;pomorskie;2208;lęborski;2208011;Lębork;;35101;17794;17251;50,6937;49,1467
24;śląskie;2417;żywiecki;2417082;gm.w Łodygowice;Bielski;14637;7471;7191;51,0419;49,1289
30;wielkopolskie;3028;wągrowiecki;3028062;gm.w Wapno;Pilski;2931;1486;1439;50,6994;49,0959
12;małopolskie;1212;olkuski;1212032;gm.w Bolesław;Katowicki;7727;3909;3793;50,5888;49,0876
32;zachodniopomorskie;3205;gryficki;3205083;gm.m-w. Trzebiatów;Szczeciński;15995;8105;7851;50,6721;49,0841
14;mazowieckie;1406;grójecki;1406032;gm.w Chynów;Radomski;9853;5014;4836;50,8881;49,0815
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002052;gm.w Lubasz;Pilski;7686;3959;3771;51,5092;49,0632
24;śląskie;2417;żywiecki;2417062;gm.w Lipowa;Bielski;10872;5523;5330;50,8002;49,025
28;warmińsko-mazurskie;2804;elbląski;2804073;gm.m-w. Pasłęk;Elbląski;19205;9756;9415;50,7993;49,0237
8;lubuskie;809;zielonogórski;809082;gm.w Trzebiechów;Zielonogórski;3343;1679;1638;50,2243;48,9979
10;łódzkie;1011;poddębicki;1011043;gm.m-w. Uniejów;Koniński;6956;3515;3408;50,5319;48,9937
2;dolnośląskie;201;bolesławiecki;201011;Bolesławiec;;38486;19476;18843;50,6054;48,9607
32;zachodniopomorskie;3206;gryfiński;3206072;gm.w Stare Czarnowo;Szczeciński;3797;1937;1859;51,014;48,9597
32;zachodniopomorskie;3215;szczecinecki;3215043;gm.m-w. Borne Sulinowo;Koszaliński;9840;4946;4817;50,2642;48,9533
32;zachodniopomorskie;3211;policki;3211033;gm.m-w. Nowe Warpno;Szczeciński;1624;832;795;51,2315;48,9532
12;małopolskie;1212;olkuski;1212062;gm.w Trzyciąż;Krakowski;7039;3541;3444;50,3054;48,9274
30;wielkopolskie;3010;koniński;3010022;gm.w Grodziec;Koniński;5131;2638;2510;51,413;48,9183
14;mazowieckie;1419;płocki;1419132;gm.w Stara Biała;Płocki;12019;6057;5879;50,3952;48,9142
14;mazowieckie;1406;grójecki;1406113;gm.m-w. Warka;Radomski;19167;9721;9370;50,7174;48,8861
32;zachodniopomorskie;3218;łobeski;3218023;gm.m-w. Łobez;Szczeciński;13815;7044;6753;50,9881;48,8817
28;warmińsko-mazurskie;2804;elbląski;2804082;gm.w Rychliki;Elbląski;3727;1900;1821;50,9793;48,8597
26;świętokrzyskie;2613;włoszczowski;2613032;gm.w Moskorzew;Częstochowski;2618;1304;1279;49,809;48,8541
24;śląskie;2414;bieruńsko-lędziński;2414042;gm.w Bojszowy;Katowicki;8045;4044;3929;50,2672;48,8378
30;wielkopolskie;3012;krotoszyński;3012033;gm.m-w. Koźmin Wielkopolski;Kaliski;13140;6612;6417;50,3196;48,8356
28;warmińsko-mazurskie;2819;węgorzewski;2819012;gm.w Budry;Suwalski;2760;1400;1347;50,7246;48,8043
14;mazowieckie;1414;nowodworski;1414043;gm.m-w. Nasielsk;Ciechanowski;19943;9976;9732;50,0226;48,7991
2;dolnośląskie;219;świdnicki;219063;gm.m-w. Strzegom;Wałbrzyski;25499;12770;12442;50,0804;48,7941
2;dolnośląskie;222;wołowski;222013;gm.m-w. Brzeg Dolny;Wrocławski;16093;8079;7852;50,202;48,7914
12;małopolskie;1206;krakowski;1206132;gm.w Sułoszowa;Krakowski;5807;2945;2833;50,7147;48,7859
2;dolnośląskie;215;oławski;215022;gm.w Domaniów;Wrocławski;5132;2576;2503;50,1949;48,7724
14;mazowieckie;1463;Radom;1463011;Radom;;209296;105278;102078;50,301;48,7721
26;świętokrzyskie;2613;włoszczowski;2613063;gm.m-w. Włoszczowa;Kielecki;19132;9692;9330;50,6586;48,7665
6;lubelskie;609;lubelski;609082;gm.w Konopnica;Lubelski;14267;7190;6957;50,396;48,7629
4;kujawsko-pomorskie;407;inowrocławski;407082;gm.w Rojewo;Bydgoski;4723;2387;2303;50,5399;48,7614
2;dolnośląskie;210;lubański;210072;gm.w Siekierczyn;Jeleniogórski;4516;2254;2202;49,9114;48,76
26;świętokrzyskie;2612;staszowski;2612073;gm.m-w. Staszów;Tarnobrzeski;25464;12831;12416;50,3888;48,759
30;wielkopolskie;3011;kościański;3011053;gm.m-w. Śmigiel;Leszczyński;17489;8851;8527;50,609;48,7564
10;łódzkie;1004;łęczycki;1004022;gm.w Daszyna;Płocki;3827;1954;1865;51,0583;48,7327
30;wielkopolskie;3028;wągrowiecki;3028033;gm.m-w. Gołańcz;Pilski;8185;4163;3988;50,8613;48,7233
10;łódzkie;1002;kutnowski;1002113;gm.m-w. Żychlin;Płocki;11628;5962;5665;51,2728;48,7186
10;łódzkie;1010;piotrkowski;1010072;gm.w Ręczno;Piotrkowski;3492;1732;1701;49,5991;48,7113
32;zachodniopomorskie;3209;koszaliński;3209022;gm.w Biesiekierz;Koszaliński;7199;3621;3506;50,2987;48,7012
24;śląskie;2412;rybnicki;2412042;gm.w Lyski;Katowicki;9676;4851;4711;50,1344;48,6875
4;kujawsko-pomorskie;415;toruński;415052;gm.w Łubianka;Toruński;7438;3777;3621;50,7798;48,6824
6;lubelskie;604;hrubieszowski;604011;Hrubieszów;Zamojski;17232;8682;8384;50,383;48,6537
26;świętokrzyskie;2608;pińczowski;2608032;gm.w Michałów;Kielecki;4516;2286;2197;50,62;48,6492
26;świętokrzyskie;2602;jędrzejowski;2602082;gm.w Sobków;Kielecki;8474;4204;4122;49,6106;48,6429
24;śląskie;2473;Rybnik;2473011;Rybnik;;137128;68431;66688;49,903;48,6319
4;kujawsko-pomorskie;419;żniński;419022;gm.w Gąsawa;Bydgoski;5215;2646;2536;50,7383;48,629
2;dolnośląskie;218;średzki;218043;gm.m-w. Środa Śląska;Wrocławski;19889;10032;9670;50,4399;48,6198
6;lubelskie;614;puławski;614052;gm.w Końskowola;Lubelski;8719;4427;4237;50,7742;48,595
8;lubuskie;804;nowosolski;804082;gm.w Siedlisko;Zielonogórski;3554;1769;1727;49,7749;48,5931
4;kujawsko-pomorskie;408;lipnowski;408032;gm.w Chrostkowo;Włocławski;2851;1458;1385;51,14;48,5794
2;dolnośląskie;225;zgorzelecki;225011;Zawidów;Jeleniogórski;4132;2056;2007;49,758;48,5721
10;łódzkie;1002;kutnowski;1002052;gm.w Krzyżanów;Płocki;4202;2107;2041;50,1428;48,5721
30;wielkopolskie;3006;jarociński;3006043;gm.m-w. Żerków;Kaliski;10213;5105;4960;49,9853;48,5656
26;świętokrzyskie;2608;pińczowski;2608022;gm.w Kije;Kielecki;4320;2159;2098;49,9769;48,5648
30;wielkopolskie;3004;gostyński;3004023;gm.m-w. Gostyń;Leszczyński;28200;14083;13690;49,9397;48,5461
24;śląskie;2413;tarnogórski;2413021;Miasteczko Śląskie;Katowicki;7418;3704;3601;49,9326;48,5441
24;śląskie;2404;częstochowski;2404152;gm.w Rędziny;Częstochowski;9850;4965;4781;50,4061;48,5381
6;lubelskie;618;tomaszowski;618011;Tomaszów Lubelski;Zamojski;18783;9429;9116;50,1996;48,5332
26;świętokrzyskie;2607;ostrowiecki;2607011;Ostrowiec Świętokrzyski;;67404;33748;32711;50,0682;48,5298
2;dolnośląskie;221;wałbrzyski;221021;Jedlina-Zdrój;Wałbrzyski;4789;2406;2324;50,2401;48,5279
4;kujawsko-pomorskie;406;grudziądzki;406062;gm.w Świecie nad Osą;Toruński;4151;2132;2014;51,3611;48,5184
2;dolnośląskie;223;wrocławski;223062;gm.w Mietków;Wrocławski;3737;1880;1813;50,3077;48,5149
24;śląskie;2462;Bytom;2462011;Bytom;;163255;81581;79200;49,9715;48,5131
30;wielkopolskie;3008;kępiński;3008072;gm.w Trzcinica;Kaliski;4934;2441;2393;49,473;48,5002
10;łódzkie;1006;łódzki wschodni;1006113;gm.m-w. Tuszyn;Piotrkowski;12453;6257;6037;50,2449;48,4783
28;warmińsko-mazurskie;2815;ostródzki;2815022;gm.w Dąbrówno;Olsztyński;4235;2146;2053;50,673;48,477
10;łódzkie;1003;łaski;1003023;gm.m-w. Łask;Sieradzki;27530;13697;13344;49,753;48,4708
2;dolnośląskie;221;wałbrzyski;221072;gm.w Stare Bogaczowice;Wałbrzyski;4265;2127;2067;49,871;48,4642
4;kujawsko-pomorskie;403;bydgoski;403022;gm.w Dąbrowa Chełmińska;Bydgoski;8415;4165;4077;49,4949;48,4492
14;mazowieckie;1424;pułtuski;1424043;gm.m-w. Pułtusk;Ciechanowski;24619;12380;11921;50,2864;48,422
10;łódzkie;1015;skierniewicki;1015012;gm.w Bolimów;Skierniewicki;4026;1989;1949;49,4039;48,4103
24;śląskie;2402;bielski;2402052;gm.w Jasienica;Bielski;24681;12403;11943;50,2532;48,3894
12;małopolskie;1218;wadowicki;1218033;gm.m-w. Kalwaria Zebrzydowska;Bielski;20022;9938;9682;49,6354;48,3568
26;świętokrzyskie;2608;pińczowski;2608052;gm.w Złota;Kielecki;4436;2258;2145;50,9017;48,3544
26;świętokrzyskie;2604;kielecki;2604172;gm.w Nowiny;Kielecki;7919;3961;3829;50,0189;48,3521
4;kujawsko-pomorskie;401;aleksandrowski;401052;gm.w Bądkowo;Włocławski;4187;2104;2024;50,2508;48,3401
10;łódzkie;1019;zduńskowolski;1019011;Zduńska Wola;;41288;20637;19957;49,983;48,3361
4;kujawsko-pomorskie;405;golubsko-dobrzyński;405043;gm.m-w. Kowalewo Pomorskie;Toruński;11416;5685;5517;49,7985;48,3269
30;wielkopolskie;3020;pleszewski;3020052;gm.w Gołuchów;Kaliski;10807;5372;5222;49,7085;48,3205
12;małopolskie;1218;wadowicki;1218082;gm.w Tomice;Bielski;8223;4117;3972;50,0669;48,3035
24;śląskie;2402;bielski;2402011;Szczyrk;Bielski;5710;2854;2758;49,9825;48,3012
2;dolnośląskie;223;wrocławski;223073;gm.m-w. Sobótka;Wrocławski;12872;6460;6217;50,1865;48,2986
16;opolskie;1603;kędzierzyńsko-kozielski;1603011;Kędzierzyn-Koźle;;60021;29910;28988;49,8326;48,2964
2;dolnośląskie;226;złotoryjski;226011;Wojcieszów;Jeleniogórski;3572;1791;1725;50,14;48,2923
2;dolnośląskie;209;legnicki;209011;Chojnów;Legnicki;13236;6536;6389;49,3805;48,2699
2;dolnośląskie;224;ząbkowicki;224053;gm.m-w. Ząbkowice Śląskie;Wałbrzyski;21405;10686;10332;49,9229;48,2691
30;wielkopolskie;3015;nowotomyski;3015012;gm.w Kuślin;Poznański;5467;2744;2638;50,1921;48,2532
2;dolnośląskie;202;dzierżoniowski;202021;Dzierżoniów;;32869;16348;15859;49,7368;48,2491
26;świętokrzyskie;2606;opatowski;2606043;gm.m-w. Opatów;Tarnobrzeski;11532;5731;5564;49,6965;48,2484
24;śląskie;2412;rybnicki;2412032;gm.w Jejkowice;Katowicki;4185;2070;2019;49,4624;48,2437
10;łódzkie;1017;wieluński;1017102;gm.w Wierzchlas;Sieradzki;6604;3259;3185;49,3489;48,2283
28;warmińsko-mazurskie;2802;braniewski;2802033;gm.m-w. Frombork;Elbląski;3515;1744;1695;49,6159;48,2219
18;podkarpackie;1810;łańcucki;1810011;Łańcut;Rzeszowski;17675;8808;8522;49,8331;48,215
28;warmińsko-mazurskie;2814;olsztyński;2814013;gm.m-w. Barczewo;Olsztyński;18142;9046;8747;49,8622;48,2141
6;lubelskie;619;włodawski;619042;gm.w Stary Brus;Chełmski;2070;1028;998;49,6618;48,2126
6;lubelskie;617;świdnicki;617011;Świdnik;;38763;19312;18686;49,8207;48,2058
14;mazowieckie;1428;sochaczewski;1428022;gm.w Brochów;Warszawski;4375;2188;2109;50,0114;48,2057
10;łódzkie;1002;kutnowski;1002022;gm.w Bedlno;Płocki;5263;2769;2537;52,6126;48,2044
2;dolnośląskie;205;jaworski;205011;Jawor;Legnicki;22462;11150;10827;49,6394;48,2014
2;dolnośląskie;208;kłodzki;208031;Kudowa-Zdrój;Wałbrzyski;9772;4855;4710;49,6828;48,1989
24;śląskie;2407;lubliniecki;2407011;Lubliniec;Częstochowski;23551;11743;11350;49,862;48,1933
28;warmińsko-mazurskie;2814;olsztyński;2814093;gm.m-w. Olsztynek;Olsztyński;13630;6777;6568;49,7212;48,1878
24;śląskie;2413;tarnogórski;2413011;Kalety;Częstochowski;8548;4272;4119;49,9766;48,1867
24;śląskie;2412;rybnicki;2412022;gm.w Gaszowice;Katowicki;9856;4855;4749;49,2593;48,1838
30;wielkopolskie;3001;chodzieski;3001053;gm.m-w. Szamocin;Pilski;7513;3734;3620;49,7005;48,1831
2;dolnośląskie;206;karkonoski;206031;Piechowice;Jeleniogórski;6082;3020;2930;49,6547;48,1749
30;wielkopolskie;3012;krotoszyński;3012043;gm.m-w. Krotoszyn;;40269;19967;19397;49,584;48,1686
4;kujawsko-pomorskie;401;aleksandrowski;401031;Nieszawa;Włocławski;1834;925;883;50,4362;48,1461
30;wielkopolskie;3010;koniński;3010123;gm.m-w. Ślesin;Koniński;14051;6976;6765;49,6477;48,146
30;wielkopolskie;3010;koniński;3010142;gm.w Wilczyn;Koniński;6182;3085;2976;49,9029;48,1398
28;warmińsko-mazurskie;2803;działdowski;2803043;gm.m-w. Lidzbark;Ciechanowski;13923;7005;6702;50,3124;48,1362
22;pomorskie;2204;gdański;2204082;gm.w Trąbki Wielkie;Gdański;11242;5610;5411;49,9022;48,132
12;małopolskie;1263;Tarnów;1263011;Tarnów;;107498;53100;51735;49,3963;48,1265
4;kujawsko-pomorskie;411;radziejowski;411072;gm.w Topólka;Włocławski;4738;2371;2280;50,0422;48,1216
32;zachodniopomorskie;3208;kołobrzeski;3208033;gm.m-w. Gościno;Koszaliński;5133;2573;2470;50,1266;48,12
4;kujawsko-pomorskie;401;aleksandrowski;401042;gm.w Aleksandrów Kujawski;Włocławski;12015;5985;5781;49,8127;48,1149
30;wielkopolskie;3007;kaliski;3007093;gm.m-w. Stawiszyn;Kaliski;7074;3512;3403;49,6466;48,1057
22;pomorskie;2213;starogardzki;2213021;Skórcz;Gdański;3603;1793;1733;49,7641;48,0988
2;dolnośląskie;219;świdnicki;219021;Świebodzice;Wałbrzyski;22642;11259;10884;49,7262;48,07
4;kujawsko-pomorskie;418;włocławski;418113;gm.m-w. Lubień Kujawski;Włocławski;7233;3555;3475;49,1497;48,0437
16;opolskie;1606;namysłowski;1606023;gm.m-w. Namysłów;Opolski;26210;12955;12591;49,4277;48,0389
14;mazowieckie;1406;grójecki;1406083;gm.m-w. Nowe Miasto nad Pilicą;Radomski;7615;3811;3658;50,046;48,0368
4;kujawsko-pomorskie;414;świecki;414072;gm.w Osie;Bydgoski;5511;2701;2647;49,0111;48,0312
2;dolnośląskie;208;kłodzki;208041;Nowa Ruda;Wałbrzyski;21643;10682;10395;49,3554;48,0294
10;łódzkie;1007;opoczyński;1007043;gm.m-w. Opoczno;;33777;16885;16218;49,9896;48,0149
22;pomorskie;2213;starogardzki;2213031;Starogard Gdański;;47272;23637;22697;50,0021;48,0136
2;dolnośląskie;214;oleśnicki;214073;gm.m-w. Syców;Kaliski;16819;8310;8072;49,4084;47,9933
30;wielkopolskie;3020;pleszewski;3020033;gm.m-w. Dobrzyca;Kaliski;8093;4044;3884;49,9691;47,9921
26;świętokrzyskie;2602;jędrzejowski;2602072;gm.w Słupia;Kielecki;4278;2130;2053;49,7896;47,9897
30;wielkopolskie;3005;grodziski;3005053;gm.m-w. Wielichowo;Poznański;6935;3456;3327;49,8342;47,974
26;świętokrzyskie;2602;jędrzejowski;2602033;gm.m-w. Małogoszcz;Kielecki;11495;5738;5514;49,9174;47,9687
8;lubuskie;806;strzelecko-drezdenecki;806052;gm.w Zwierzyn;Gorzowski;4307;2152;2066;49,9652;47,9684
10;łódzkie;1019;zduńskowolski;1019023;gm.m-w. Szadek;Sieradzki;7287;3648;3495;50,0618;47,9621
2;dolnośląskie;214;oleśnicki;214032;gm.w Dobroszyce;Wrocławski;6886;3419;3302;49,6515;47,9524
24;śląskie;2412;rybnicki;2412013;gm.m-w. Czerwionka-Leszczyny;;41909;20559;20095;49,0563;47,9491
32;zachodniopomorskie;3206;gryfiński;3206053;gm.m-w. Mieszkowice;Szczeciński;7020;3512;3366;50,0285;47,9487
8;lubuskie;811;żarski;811082;gm.w Trzebiel;Zielonogórski;5640;2780;2703;49,2908;47,9255
22;pomorskie;2209;malborski;2209082;gm.w Stare Pole;Elbląski;4706;2323;2254;49,3625;47,8963
10;łódzkie;1002;kutnowski;1002102;gm.w Strzelce;Płocki;3892;1956;1864;50,2569;47,8931
4;kujawsko-pomorskie;415;toruński;415072;gm.w Obrowo;Toruński;18299;9049;8761;49,4508;47,8769
14;mazowieckie;1402;ciechanowski;1402072;gm.w Opinogóra Górna;Ciechanowski;5937;2958;2842;49,8231;47,8693
26;świętokrzyskie;2604;kielecki;2604123;gm.m-w. Morawica;Kielecki;16912;8413;8095;49,7457;47,8654
28;warmińsko-mazurskie;2803;działdowski;2803062;gm.w Rybno;Ciechanowski;7160;3517;3427;49,1201;47,8631
32;zachodniopomorskie;3202;choszczeński;3202063;gm.m-w. Recz;Gorzowski;5450;2711;2608;49,7431;47,8532
24;śląskie;2404;częstochowski;2404122;gm.w Olsztyn;Częstochowski;7835;3849;3749;49,1257;47,8494
30;wielkopolskie;3010;koniński;3010073;gm.m-w. Rychwał;Koniński;8203;4042;3925;49,2747;47,8483
24;śląskie;2403;cieszyński;2403113;gm.m-w. Strumień;Bielski;13256;6488;6342;48,9439;47,8425
20;podlaskie;2005;hajnowski;2005022;gm.w Białowieża;Białostocki;2130;1072;1019;50,3286;47,8404
24;śląskie;2479;Żory;2479011;Żory;;62844;30938;30058;49,2298;47,8295
12;małopolskie;1209;myślenicki;1209073;gm.m-w. Sułkowice;Krakowski;15061;7398;7203;49,1202;47,8255
24;śląskie;2417;żywiecki;2417122;gm.w Ślemień;Bielski;3534;1748;1690;49,4624;47,8212
32;zachodniopomorskie;3209;koszaliński;3209082;gm.w Świeszyno;Koszaliński;7626;3782;3646;49,5935;47,8101
10;łódzkie;1020;zgierski;1020021;Ozorków;Łódzki;19128;9454;9145;49,4249;47,8095
4;kujawsko-pomorskie;404;chełmiński;404042;gm.w Lisewo;Toruński;5181;2615;2477;50,4729;47,8093
26;świętokrzyskie;2611;starachowicki;2611053;gm.m-w. Wąchock;Kielecki;6739;3350;3221;49,7106;47,7964
24;śląskie;2406;kłobucki;2406042;gm.w Miedźno;Częstochowski;7518;3726;3593;49,5611;47,792
30;wielkopolskie;3024;szamotulski;3024042;gm.w Obrzycko;Poznański;4498;2242;2149;49,8444;47,7768
2;dolnośląskie;224;ząbkowicki;224013;gm.m-w. Bardo;Wałbrzyski;5210;2568;2489;49,2898;47,7735
8;lubuskie;803;międzyrzecki;803042;gm.w Pszczew;Gorzowski;4287;2138;2048;49,8717;47,7723
32;zachodniopomorskie;3212;pyrzycki;3212053;gm.m-w. Pyrzyce;Szczeciński;19227;9543;9185;49,6333;47,7714
2;dolnośląskie;226;złotoryjski;226032;gm.w Pielgrzymka;Legnicki;4509;2219;2154;49,2127;47,7711
30;wielkopolskie;3019;pilski;3019022;gm.w Białośliwie;Pilski;4809;2357;2296;49,0123;47,7438
24;śląskie;2402;bielski;2402032;gm.w Buczkowice;Bielski;11226;5564;5359;49,5635;47,7374
4;kujawsko-pomorskie;413;sępoleński;413043;gm.m-w. Więcbork;Bydgoski;13309;6480;6353;48,6889;47,7346
30;wielkopolskie;3008;kępiński;3008022;gm.w Bralin;Kaliski;6084;2988;2904;49,1124;47,7318
10;łódzkie;1007;opoczyński;1007023;gm.m-w. Drzewica;Radomski;10384;5128;4954;49,3837;47,708
30;wielkopolskie;3028;wągrowiecki;3028042;gm.w Mieścisko;Poznański;5909;2950;2819;49,9238;47,7069
10;łódzkie;1021;brzeziński;1021011;Brzeziny;Skierniewicki;12365;6055;5898;48,9689;47,6992
8;lubuskie;811;żarski;811043;gm.m-w. Jasień;Zielonogórski;6962;3419;3320;49,1095;47,6874
